x,y
155,21
154,20
155,21
155,22
156,22
157,21
156,20
156,21
157,21
158,20
157,19
157,20
158,20
159,19
158,18
158,19
159,19
160,18
159,17
159,18
160,18
161,17
160,16
160,17
161,17
162,16
161,15
161,16
162,16
163,15
162,14
162,15
163,15
164,14
163,13
163,14
164,14
165,13
164,12
164,13
165,13
166,12
165,11
165,12
166,12
167,11
166,10
166,11
167,11
168,10
167,9
167,10
168,10
169,9
168,8
168,9
169,9
170,8
169,7
169,8
170,8
171,7
170,6
170,7
171,7
172,6
171,5
171,6
172,6
173,5
172,4
172,5
173,5
174,4
173,3
173,4
174,4
175,3
174,2
174,3
175,3
176,2
175,1
175,2
176,2
177,1
176,0
176,1
177,1
178,0
177,0
176,0
